DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2017,4.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2018,4.1,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2019,4.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2020,3.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2021,3.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2022,3.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2023,3.6,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2024,2.2,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2015,6.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2016,8.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2017,10.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2018,13.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2019,10.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2020,10.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2021,8.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2022,4.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2023,4.4,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2024,4.4,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2015,12,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2016,11.3,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2017,11.1,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2018,10.4,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2019,9.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2020,5.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2021,4.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2022,7.1,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2023,8.2,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2024,7.7,dp,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Germany,2018,6.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Germany,2022,1.3,b,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Germany,2023,1.7,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Germany,2024,-0.4,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2015,5.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2016,6.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2017,5.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2018,4.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2019,4.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2020,3.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2021,4.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2022,4.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2023,5.7,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2024,6.3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Estonia,2018,12.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Estonia,2023,19.6,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Estonia,2024,18.8,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Greece,2018,4.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Greece,2022,-3.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Greece,2023,-4.4,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Greece,2024,-3.4,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2015,9.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2016,4.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2017,4.1,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2018,1.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2019,-2.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2020,-2.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2021,-1.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2022,0.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2023,1.1,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Spain,2024,1.1,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2015,3.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2016,5.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2017,6.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2018,4.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2019,5.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2020,5.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2021,4.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2022,4.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2023,-0.5,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Finland,2024,-1.1,bp,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2015,-2.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2016,-0.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2017,1.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2018,3.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2019,1.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2020,-1.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2021,-4.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2022,-6.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2023,-6.1,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,France,2024,-5.2,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2016,4.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2017,5.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2018,3.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2019,4.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2020,6.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2021,4.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2022,3.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2023,3.9,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2024,2.7,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2015,3.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2016,3.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2017,3,b,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2018,7.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2019,8.2,b,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2020,7.1,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2021,7.5,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2022,7.6,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2023,7.1,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2024,8.5,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2015,2.9,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2016,3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2017,3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2018,-5.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2019,-3.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2020,1.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2021,-0.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2022,1.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2023,1,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2024,0.9,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2015,3.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2016,2.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2017,0.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2018,0.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2019,1.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2020,-0.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2021,1.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2022,0.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2023,0.5,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2024,0.7,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2015,10.7,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2016,16,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2017,15.8,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2018,4.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2019,4.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2020,6.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2021,5.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2022,5.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2023,8.3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Italy,2024,8.3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2015,14.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2016,14.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2017,13.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2018,13.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2019,11.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2020,14.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2021,14.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2022,14.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2023,13.9,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2024,12.8,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Luxembourg,2018,-6.1,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Luxembourg,2022,-11.6,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2015,12.2,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2016,11.6,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2017,11.5,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2018,10.3,d,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2019,10.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2020,12.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2021,9.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2022,11.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2023,10.4,p,
